ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
1584229282478936510!,system_02,0.000000,0.733436,,0.624600,0.061246,0.147027,0.091203,0.330763,0.942705,0.126626,0.669114,0.261471,0.795504,0.324015,0.431914,0.000000,0.000000,-0.821520,0.260002,-0.788417,-1.025364,-0.211349,-0.600190,-2.272969,-0.648613
1584229282478936510!,system_02,0.260221,0.791195,,0.373219,0.090830,-0.008528,0.144045,-0.000196,0.564357,0.011386,0.286460,0.284103,0.782913,0.298730,0.472608,0.022005,-0.018842,-0.821520,0.260002,-0.788417,-1.025364,-0.211349,-0.600190,-2.272969,-0.648613
1584229282478936510!,system_02,0.588156,0.751066,,0.175761,0.117864,0.009607,0.137950,0.066955,0.240955,-0.021945,-0.023647,0.284560,0.760885,0.289843,0.444418,0.020163,0.034954,-0.821520,0.260002,-0.788417,-1.025364,-0.211349,-0.600190,-2.272969,-0.648613
1584229282478936510!,system_02,1.001427,0.807591,,0.021432,0.209873,0.001972,0.201216,0.046153,0.070326,0.000985,0.039583,0.271184,0.826409,0.291818,0.414710,0.027248,-0.047732,,,,,,,,
1584229282478936510!,system_02,1.522239,0.758638,,0.041026,0.228988,-0.000120,0.180928,0.033972,0.010117,-0.007623,-0.071447,0.240256,0.635463,0.359813,0.416472,0.044027,0.032485,,,,,,,,
1584229282478936510!,system_02,2.178578,0.887188,,-0.054344,0.167147,0.007243,0.163692,-0.019907,-0.044901,-0.000339,-0.000285,0.256512,0.620699,0.297890,0.386283,0.019966,0.079405,,,,,,,,
1584229282478936510!,system_02,3.005710,0.810173,,0.015720,0.113171,0.001786,0.191637,0.020257,-0.124765,0.002240,-0.077706,0.243861,0.772769,0.306006,0.321309,0.021239,-0.004707,,,,,,,,
1584229282478936510!,system_02,4.048078,0.878646,,0.004468,0.171016,-0.009146,0.209648,0.018874,0.071762,-0.012704,0.017041,0.255076,0.706223,0.296773,0.380591,0.033060,0.049499,,,,,,,,
1584229282478936510!,system_02,5.361692,0.878199,,0.008062,0.170250,-0.000886,0.202960,0.016255,0.179980,0.005264,-0.025393,0.215835,0.625898,0.259087,0.376662,0.042880,0.129616,,,,,,,,
1584229282478936510!,system_02,7.017135,0.893835,,0.007997,0.209566,-0.003994,0.183103,-0.022767,-0.016004,-0.004163,-0.037382,0.191950,0.507890,0.156669,0.345992,0.036547,0.116407,,,,,,,,
1584229282478936510!,system_02,9.103359,0.928891,,0.047666,0.178628,0.006993,0.169098,0.007789,0.059924,-0.003135,0.043729,0.215806,0.647961,0.252235,0.258236,0.086090,0.137037,,,,,,,,
1584229282478936510!,system_02,11.732462,0.924839,,0.008946,0.221823,-0.002060,0.210154,0.080916,0.113531,0.017814,-0.104491,0.175705,0.328940,0.257035,0.247700,0.085556,0.113018,,,,,,,,
1584229282478936510!,system_02,15.045711,0.954215,,-0.021242,0.182643,-0.010193,0.205827,0.032993,0.123373,0.014408,-0.040541,0.114753,0.375680,0.160847,0.338339,0.079303,0.137564,,,,,,,,
1584229282478936510!,system_02,19.221135,0.983756,,0.035393,0.261954,-0.008014,0.183015,0.129849,0.240618,-0.011701,-0.003682,0.107252,0.453480,0.050925,0.190393,0.100768,0.174768,,,,,,,,
1584229282478936510!,system_02,24.483092,1.037807,,0.047310,0.260424,0.003702,0.180768,0.106187,0.099440,-0.002929,0.047510,0.089267,0.131978,0.131341,0.059683,0.079196,0.149450,,,,,,,,
1584229282478936510!,system_02,31.114318,1.009652,,0.070101,0.218000,0.011428,0.171341,0.213111,0.226800,0.002987,-0.071648,0.049481,0.195768,0.051647,0.079166,0.087850,0.166619,,,,,,,,
1584229282478936510!,system_02,39.471125,1.113741,,-0.007575,0.325870,0.005309,0.186171,0.223855,0.228088,0.015242,0.032674,0.068622,0.146934,0.056748,-0.035389,0.104641,0.116610,,,,,,,,
1584229282478936510!,system_02,50.002546,1.217732,,0.116665,0.345581,0.000729,0.192897,0.305644,0.370683,0.014091,0.008471,0.077378,-0.023207,0.077435,0.089748,0.048531,0.066945,,,,,,,,
1584229282478936510!,system_02,63.274460,1.073047,,0.144131,0.329071,-0.005660,0.171338,0.240440,0.167059,0.016964,-0.030928,0.029364,0.096822,0.018071,0.136614,0.049243,0.037876,,,,,,,,
1584229282478936510!,system_02,80.000000,1.166842,,0.213163,0.330764,0.004866,0.183662,0.205028,0.355159,0.002958,0.066743,0.038108,0.063896,0.072112,-0.025729,0.013535,0.019133,,,,,,,,
